Problem Name	8.28.1	8.28.2	8.28.3	8.28.4	8.28.5	8.28.6	8.28.7	8.28.8
%(startStateNodeName)%		state5	state3	state1				
%(image)%	Assets/bp-comp-1_edit.PNG	Assets/bp-comp-2_edit.PNG	Assets/bp-comp-3_edit.PNG	Assets/bp-comp-4_edit.PNG	Assets/bp-comp-5_edit.PNG	Assets/bp-comp-6_edit.PNG	Assets/bp-comp-7_edit.PNG	Assets/bp-comp-8_edit.PNG
%(problem_statement)%	The Smiths are going on vacation in July. They are choosing between boating at a lake or hiking in the mountains and wonder how hot it gets in each place. This box-and-whisker graph shows the daily high temperatures at the lake and in the mountains.	Two supermarkets in the area are selling pumpkins for Halloween. The ShopWell supermarket gets its pumpkins from a single local farm. The Apex supermarket gets its pumpkins from many small farms in the area. These box-and-whisker graphs show the size (the height) of individual pumpkins that are available at the two stores.	"The Strikers bowling team needs to add one new member and is choosing between bowlers, Alisha and Karen. These box-and-whisker graphs show the distribution of scores for each of the two bowlers over their last 20 games."	Sam is going to start driving a taxi for the Reliable cab company. He needs to decide if he will work the daytime shift or the night shift. These box-and-whisker graphs show the distance of the individual cab trips at the two times of day.	Anita is going to open a coffee shop in town and is deciding between two locations. One is on 8th Street and the other is on 12th Street. She paid some friends to systematically count the number of people each day who walk by each of the two locations. These box-and-whisker plots show how many people walked by each location.	"The WaveRiders surf club is planning a surfing contest. They are deciding between two locations, Sunset Beach and Sandy Point to hold the contest. They observed the height of the waves at the two beaches for a week. These box-and-whisker plots show the distribution of the wave heights."	Springfield hosts a celebrity hockey tournament every year with local celebrities playing against a high school hockey team. They are trying to decide which high school team they should invite to play. These box-and-whisker plots show the distribution of the points scored by the mens' and womens' hockey teams in their last 25 games.	A marketing specialist is planning on advertising at a local movie theater. She has reviewed the daily attendance at each theater for a month and produced the following box-and-whisker graphs.
%(instructions)%	Please use the box-and-whisker plots to answer the questions below:	Please use the box-and-whisker plots to answer the questions below:	Please use the box-and-whisker plots to answer the questions below:	Please use the box-and-whisker plots to answer the questions below:	Please use the box-and-whisker plots to answer the questions below:	Please use the box-and-whisker plots to answer the questions below:	Please use the box-and-whisker plots to answer the questions below:	Please use the box-and-whisker plots to answer the questions below:
								
%(question1)%	50% of the days the temperature at the lake is at least	50% of the ShopWell pumpkins are between 9 inches and	"In 75% of the games, Alisha scored at least"	"During the day, 25% of cab trips are shorter than"	"On 25% of the days, between 65 and"	75% of the waves at Sunset Beach are between 3 feet and	50% of the womens' scores were between 2 and	25% of the days at Movie World have a lower attendance than
%(question2)%	50% of the days the temperature in the mountains is at least	50% of the Apex pumpkins are between 15 inches and	"In 75% of the games, Karen scored at least"	"At night, 25% of cab trips are shorter than"	"On 25% of the days, between 70 and"	75% of the waves at Sandy Point are between 3 feet and	The upper 50% of the womens' scores were higher than 	25% of the days at Movie World have a higher attendance than
%(question3)%	Every day at the lake is warmer than	75% of the ShopWell pumpkins are taller than at least	The upper 25% of Alisha's scores are higher than	All of the daytime cab trips are shorter than	There are more people every day on 12th Street than on	75% of the waves at Sunset Beach are taller than	The upper 25% of the mens' scores were higher than	"On 50% of the days, Super Cinema has at least"
%(question4)%	The upper 25% of days at the lake are warmer than	25% of Apex pumpkins are taller than at least	50% of Alisha's scores are lower than	The lower 25% of the daytime cab trips are shorter than	There are more people on 50% of days on 12th Street than on	The lower 25% of the waves at Sunset Beach are shorter than	The middle 50% of the mens' scores were equal to	"On 75% of the days, Super Cinema has less than"
%(question5)%	Which area has more days that are less than 80 degrees (lake or mountains)?	Which store has a greater percentage of pumpkins that are at least 12 inches tall?	Who is more likely to score above 260 points?	Which shift has a greater percentage of trips that are 2 to 3 miles long?	"On a given day, are more people more likely to walk by 8th Street or 12th Street?"	Which location has more consistently sized waves?	Which team is more likely to score more than 4 goals?	Which location is more likely to have an attendance above 570?
%(question6)%	"Which area has more days that are at least 85 degrees (lake or mountains)?</font>"""	Which store has a greater percentage of pumpkins that are at least 9 inches tall?	Who is more likely to score below 200 points?	Which shift has a greater percentage of trips that are greater than 3 miles long?	Which street has a greater chance of having at least 85 people walk by on any given day?	Which beach has more big waves?	Which team is more likely to score at least 1 goal?	Which location is more likely to have an attendance below 360?
								
%(label1)%	degrees.	inches.	pins.	miles.	people walk by the 8th Street location.	feet high.	points.	of the days at Super Cinema.
%(label2)%	degrees.	inches.	pins.	miles.	people walk by the 12th Street location.	feet high.	of the mens' scores.	of the days at Super Cinema.
